codigo,nombre,costo_neto,precio_venta,marca_fabricante
1221015,Circuito respiratorio adulto DCD0022,0.00,,""
1221016,Circuito respiratorio adulto DCD0023,0.00,,""
1221017,Circuito respiratorio adulto c/trampa DCD0025,0.00,,""
1221018,Circuito respiratorio pediátrico DCD036,0.00,,""
1221019,Circuito respiratorio adulto DCD0066,0.00,,""
1221020,Circuito respiratorio adulto c/trampa DCD0130,0.00,,""
1221021,Circuito respiratorio adulto c/trampa DCD0150,0.00,,""
1221022,Circuito respiratorio adulto DCD0151,0.00,,""
1221023,Circuito respiratorio adulto DCD0165,0.00,,""
1221024,Circuito neonatal WESTMED,0.00,,""
1221027,Circuito respiratorio adulto DCD130,0.00,,""
1221028,Circ. descartable KING JACKSON REES,0.00,,""
1221029,Circ. descartable DCD015C,4215644.25,,""
1223001,Manguito CUFF de presión adulto 1 vía,39285.00,47628.00,""
1223002,Manguito CUFF de presión pediátrico 1 vía,0.00,,""
1223003,Manguito CUFF de presión neonatal 1 vía,0.00,,""
1223004,Manguito CUFF de presión neonatal 2 vías,0.00,,""
1223005,Manguito CUFF de presión pediátrico 1 vía PROP x,0.00,,""
1223006,Cable de presión invasiva PI-BD,0.00,,""
1223007,Cable de presión invasiva PI-EDWARD,0.00,,""
1223008,Cable paciente ECG 10 deriv. compatible EDAN,0.00,,""
1223009,Cable paciente ECG 5 deriv. compatible MEDITECH,0.00,,""
1223010,Prolongador PNI c/acople rápido MEDITECH,0.00,,""
1223011,Transductor de presión BD MERITRANS 682000,42922500.00,,""
1223012,Cobertor p/sensor temp. WELCHALLYN p/EDAN x25 u,0.00,,""
1223013,Cable paciente ECG 5 deriv. p/mon. MINDRAY UMEC12,0.00,,""
1223014,Prolongador SPO2 p/mon. MINDRAY UMEC12 3mts,0.00,,""
1223015,Manguera prolongador PNI c/acople rápido UMEC12,0.00,,""
1223016,Sensor SPO2 broche adulto MINDRAY UMEC12,0.00,,""
1223017,Sensor SPO2 broche adulto AURORA KONSUNG original,33553027.50,,""
1223018,Sensor SPO2 broche ped. AURORA KONSUNG original,68676.00,228967.20,""
1223019,Sensor SPO2 broche neo. AURORA KONSUNG original,0.00,,""
1223020,Sensor SPO2 broche aduto p/monitor CHOICE,0.00,,""
1223021,Transductor Edwards de Presion Invasiva,38093296.80,,""
1501001,TURBINA G2 nP2-M3+ para CPAP/Auto CPAP BMC,291000.00,441000.00,""
1501002,Turbina G2s C2+ para CPAP/Auto CPAP BMC,72750.00,110250.00,""
1501003,Turbina para CPAP/Auto CPAP BMC G3,291000.00,441000.00,""
1501004,Turbina para BPAP BMC G3 M3+,291000.00,441000.00,""
1501005,Turbina P/PB560 REF. 10028768,494700.00,749700.00,""
1501006,TURBINA NP1-TKD PARA G1,0.00,,""
1502001,PLACA DE CONTROL AUTOCPAP G2 E-20A-H-O,145500.00,220500.00,""
1502002,PLACA DE CONTROL G2S A20,184304.85,279300.00,""
1502003,PLACA DE CONTROL G3 C20 PARA CPAP,121245.15,183750.00,""
1502004,PLACA DE CONTROL G3 A20 PARA BMC,484995.15,735000.00,""
1502005,PLACA PRINCIPAL G3 B30VT PARA BMC,242504.85,367500.00,""
1502006,Placa turbina DRIVER CARD PB560 REF.10108399,121245.15,183750.00,""
1502007,Placa CPU P/PB560 REF. 10108397,310395.15,470400.00,""
1502008,Placa fuente PB560,0.00,0.00,""
1502009,Placa calefactora para humidificador CPAP G2S,116400.00,176400.00,""
1502010,PLACA PRINCIPAL G2 T-25T PARA BMC,0.00,,""
1502014,PLACA FRONTAL OXI. COVIDIEN,0.00,,""
1502015,PLACA CONTROL INOGEN G3 (REPUESTO DE COMPONENTES),0.00,,""
1502016,PLACA INOGEN G4,0.00,,""
1502017,DC POWER BOARD INOGEN G4,0.00,,""
1502018,FRU BUZZER CARD PB500,0.00,,""
1502019,FRU DRIVER CARD BLOWER PB 560,0.00,,""
