os,origen,texto_fuente,keywords_fuente,codigo_candidato,nombre_candidato,costo_neto,score,confianza
28875,item_presupuesto,Ceolitas,zeolita_tamiz,1504006,CANISTER CEOLITA LONGFIAN JAY-10,240075.00,60,baja
28875,item_presupuesto,Ceolitas,zeolita_tamiz,1504003,Canister zeolita p/Inogen At Home SP-605,654750.00,58,baja
28876,item_presupuesto,Cooler,cooler,1505003,COOLER  KONSUNG,0.00,115,media
28876,item_presupuesto,Cooler,cooler,1505004,COOLER LONGFIAN JAY,0.00,103,media
28876,item_presupuesto,Ceolita,zeolita_tamiz,1504008,RECAMBIO CEOLITA AIRSEP (PAR),145500.00,101,media
28876,item_presupuesto,Ceolita,zeolita_tamiz,1504006,CANISTER CEOLITA LONGFIAN JAY-10,240075.00,95,media
28876,item_presupuesto,Cooler,cooler,1505005,INOGEN G3 FAN 40X20 (COOLER),0.00,92,media
28876,item_presupuesto,Ceolita,zeolita_tamiz,1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,91,media
28877,texto_trabajos,KW:zeolita_tamiz,zeolita_tamiz,1504002,Kit de canister zeolita compatible conc. G3 SP-563,385575.00,55,baja
28877,texto_trabajos,KW:zeolita_tamiz,zeolita_tamiz,1504008,RECAMBIO CEOLITA AIRSEP (PAR),145500.00,50,baja
28882,texto_trabajos,KW:bateria_pila,bateria_pila,PS-039,SOPORTE INTERNO BATERIA/MOTOR,2910.00,59,baja
28882,texto_trabajos,KW:bateria_pila,bateria_pila,SP821,Kit de tablero de batería G5,0.00,58,baja
28888,texto_trabajos,KW:manguera,fusible | manguera,1213050,Manguera de O2 1.5mts (BL) conexión DISSR/DISSR,0.00,43,baja
28888,texto_trabajos,KW:manguera,fusible | manguera,1213051,Manguera de aire 1.5mts (AM) conexión DISSR/DISSR,0.00,43,baja
28888,texto_trabajos,KW:fusible,fusible | manguera,ME-014,PORTA FUSIBLE 5X20 P/IMPRESO C/TAPA,0.00,39,baja
28888,texto_trabajos,KW:fusible,fusible | manguera,ME-031,PORTA FUSIBLE 6 X 30  P/PANEL,0.00,34,baja
28892,texto_trabajos,KW:filtro,filtro,1208043,Conjunto de filtro compatible c/conc. G4 SP-704,152775.00,43,baja
28892,texto_trabajos,KW:filtro,filtro,SP704,Conjunto de filtro compatible c/conc. G4,72750.00,43,baja
28893,texto_trabajos,KW:filtro,filtro | motor | placa,1208016,Filtro de aire interno AIRSEP NEW LIFE,7275.00,43,baja
28893,texto_trabajos,KW:filtro,filtro | motor | placa,1208012,Filtro de aire externo AIRSEP NEW LIFE,4365.00,43,baja
28893,texto_trabajos,KW:motor,filtro | motor | placa,SC-102,CABLE ACCESORIO DE 12V ENCENDEDOR DE AUTOMOTOR,8730.00,40,baja
28893,texto_trabajos,KW:motor,filtro | motor | placa,1502006,Placa turbina DRIVER CARD PB560 REF.10108399,121245.15,39,baja
28893,texto_trabajos,KW:placa,filtro | motor | placa,1502006,Placa turbina DRIVER CARD PB560 REF.10108399,121245.15,39,baja
28893,texto_trabajos,KW:placa,filtro | motor | placa,1223017,Sensor SPO2 broche adulto AURORA KONSUNG original,33553027.50,38,baja
28894,texto_trabajos,KW:bateria_pila,bateria_pila | gabinete_carcasa,PS-039,SOPORTE INTERNO BATERIA/MOTOR,2910.00,63,baja
28894,texto_trabajos,KW:bateria_pila,bateria_pila | gabinete_carcasa,1204001,Jarra para aspirador a batería BEMIS 800 c.c.,4980930.60,59,baja
28894,texto_trabajos,KW:gabinete_carcasa,bateria_pila | gabinete_carcasa,SC-106,GABINETE COMPLETO,61110.00,50,baja
28894,texto_trabajos,KW:gabinete_carcasa,bateria_pila | gabinete_carcasa,SP550,Carcasa delantera con espuma G3HF,0.00,45,baja
28895,texto_trabajos,KW:bateria_pila,bateria_pila,1204001,Jarra para aspirador a batería BEMIS 800 c.c.,4980930.60,43,baja
28895,texto_trabajos,KW:bateria_pila,bateria_pila,1204002,Tapa de jarra p/aspirador a batería BEMIS 800 c.c.,0.00,43,baja
28896,item_presupuesto,Baterías,bateria_pila,SC-110,CABLEADO BATERIAS,0.00,119,media
28896,item_presupuesto,Vacuómetro,vacuometro,PS-034,"CONECTOR  BCE. VACUOMETRO 3/8"" NF",0.00,105,media
28896,item_presupuesto,Vacuómetro,vacuometro,IN-001,Vacuómetro diámetro 52MM Fij. Frontal,39285.00,103,media
28896,item_presupuesto,Baterías,bateria_pila,PK001,Pack baterías NI-CD 6X1800 mA,0.00,98,media
28896,item_presupuesto,Vacuómetro,vacuometro,IN002,Vacuómetro diametro 50mm p/aspirador SILFAB,29100.00,97,media
28896,item_presupuesto,Baterías,bateria_pila,ME-081,"BATERIA 6V 2,9 A/H",46560.00,78,baja
28897,texto_trabajos,KW:bateria_pila,bateria_pila | fusible | motor,1204001,Jarra para aspirador a batería BEMIS 800 c.c.,4980930.60,57,baja
28897,texto_trabajos,KW:bateria_pila,bateria_pila | fusible | motor,1204002,Tapa de jarra p/aspirador a batería BEMIS 800 c.c.,0.00,56,baja
28897,texto_trabajos,KW:motor,bateria_pila | fusible | motor,LA-003,LABIO DE BOMBA DE VACIO MOTORCOM,0.00,55,baja
28897,texto_trabajos,KW:motor,bateria_pila | fusible | motor,SC-102,CABLE ACCESORIO DE 12V ENCENDEDOR DE AUTOMOTOR,8730.00,53,baja
28897,texto_trabajos,KW:fusible,bateria_pila | fusible | motor,ME-014,PORTA FUSIBLE 5X20 P/IMPRESO C/TAPA,0.00,46,baja
28897,texto_trabajos,KW:fusible,bateria_pila | fusible | motor,ME-031,PORTA FUSIBLE 6 X 30  P/PANEL,0.00,41,baja
28898,item_presupuesto,Baterías,bateria_pila,SC-110,CABLEADO BATERIAS,0.00,119,media
28898,item_presupuesto,Baterías,bateria_pila,PK001,Pack baterías NI-CD 6X1800 mA,0.00,98,media
28898,item_presupuesto,Baterías,bateria_pila,ME-081,"BATERIA 6V 2,9 A/H",46560.00,78,baja
28899,item_presupuesto,Cambio de ceolitas,zeolita_tamiz,1504008,RECAMBIO CEOLITA AIRSEP (PAR),145500.00,91,media
28899,item_presupuesto,Cambio de ceolitas,zeolita_tamiz,1504006,CANISTER CEOLITA LONGFIAN JAY-10,240075.00,73,baja
28899,item_presupuesto,Cambio de ceolitas,zeolita_tamiz,1503001,Tamiz molecular p/recarga de zeolita,145.50,69,baja
28903,texto_trabajos,KW:bateria_pila,bateria_pila,1509002,Batería de 8 celdas Inogen One G4 BA-408,2109750.00,60,baja
28903,texto_trabajos,KW:bateria_pila,bateria_pila,1509003,Batería p/conc. portátil LONGFIAN JAY-10D,0.00,57,baja
28906,item_presupuesto,Canister ceolita EVERFLO + Válvula,valvula_pillow | zeolita_tamiz,1504010,Canister ceolita EVERFLO + Válvula,0.00,200,alta
28906,item_presupuesto,FILTRO ONCENTRADOR EVERFLOW GENÉRICO,filtro,1208036,FILTRO CONCENTRADOR EVERFLOW GENÉRICO,4365.00,123,alta
28906,item_presupuesto,FILTRO ONCENTRADOR EVERFLOW GENÉRICO,filtro,FI-002,FILTRO CONCENTRADOR EVERFLOW ORIGINAL,58927.50,107,media
28906,item_presupuesto,Canister ceolita EVERFLO + Válvula,valvula_pillow | zeolita_tamiz,1504006,CANISTER CEOLITA LONGFIAN JAY-10,240075.00,90,media
28906,item_presupuesto,Canister ceolita EVERFLO + Válvula,valvula_pillow | zeolita_tamiz,1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,90,media
28906,item_presupuesto,FILTRO ONCENTRADOR EVERFLOW GENÉRICO,filtro,1208001,Filtro aspirador generico FA550,2757661.50,87,baja
28907,item_presupuesto,Ceolitas,zeolita_tamiz,1504008,RECAMBIO CEOLITA AIRSEP (PAR),145500.00,70,baja
28907,item_presupuesto,Base plastica,,PS-006,PASACABLE PLASTICO,0.00,70,baja
28907,item_presupuesto,Base plastica,,MP-017,Jarra aspirador plástica,14550.00,64,baja
28907,item_presupuesto,Ceolitas,zeolita_tamiz,1504006,CANISTER CEOLITA LONGFIAN JAY-10,240075.00,60,baja
28907,item_presupuesto,Ceolitas,zeolita_tamiz,1504003,Canister zeolita p/Inogen At Home SP-605,654750.00,58,baja
28907,item_presupuesto,Base plastica,,PS-021,TRABA SOPORTE DE MASTIL,23280.00,55,baja
28908,item_presupuesto,Ceolitas,zeolita_tamiz,1504008,RECAMBIO CEOLITA AIRSEP (PAR),145500.00,70,baja
28908,item_presupuesto,Ceolitas,zeolita_tamiz,1504006,CANISTER CEOLITA LONGFIAN JAY-10,240075.00,60,baja
28908,item_presupuesto,Ceolitas,zeolita_tamiz,1504003,Canister zeolita p/Inogen At Home SP-605,654750.00,58,baja
28909,item_presupuesto,Baterías,bateria_pila,SC-110,CABLEADO BATERIAS,0.00,119,media
28909,item_presupuesto,Vacuómetro,vacuometro,PS-034,"CONECTOR  BCE. VACUOMETRO 3/8"" NF",0.00,105,media
28909,item_presupuesto,Vacuómetro,vacuometro,IN-001,Vacuómetro diámetro 52MM Fij. Frontal,39285.00,103,media
28909,item_presupuesto,Baterías,bateria_pila,PK001,Pack baterías NI-CD 6X1800 mA,0.00,98,media
28909,item_presupuesto,Vacuómetro,vacuometro,IN002,Vacuómetro diametro 50mm p/aspirador SILFAB,29100.00,97,media
28909,item_presupuesto,Baterías,bateria_pila,ME-081,"BATERIA 6V 2,9 A/H",46560.00,78,baja
28910,item_presupuesto,Baterías,bateria_pila,SC-110,CABLEADO BATERIAS,0.00,119,media
28910,item_presupuesto,Vacuómetro,vacuometro,PS-034,"CONECTOR  BCE. VACUOMETRO 3/8"" NF",0.00,105,media
28910,item_presupuesto,Vacuómetro,vacuometro,IN-001,Vacuómetro diámetro 52MM Fij. Frontal,39285.00,103,media
28910,item_presupuesto,Baterías,bateria_pila,PK001,Pack baterías NI-CD 6X1800 mA,0.00,98,media
28910,item_presupuesto,Vacuómetro,vacuometro,IN002,Vacuómetro diametro 50mm p/aspirador SILFAB,29100.00,97,media
28910,item_presupuesto,Baterías,bateria_pila,ME-081,"BATERIA 6V 2,9 A/H",46560.00,78,baja
28911,item_presupuesto,Vacuómetro,vacuometro,PS-034,"CONECTOR  BCE. VACUOMETRO 3/8"" NF",0.00,105,media
28911,item_presupuesto,Vacuómetro,vacuometro,IN-001,Vacuómetro diámetro 52MM Fij. Frontal,39285.00,103,media
28911,item_presupuesto,Vacuómetro,vacuometro,IN002,Vacuómetro diametro 50mm p/aspirador SILFAB,29100.00,97,media
28915,item_presupuesto,vacuometro,vacuometro,PS-034,"CONECTOR  BCE. VACUOMETRO 3/8"" NF",0.00,105,media
28915,item_presupuesto,vacuometro,vacuometro,IN-001,Vacuómetro diámetro 52MM Fij. Frontal,39285.00,103,media
28915,item_presupuesto,vacuometro,vacuometro,IN002,Vacuómetro diametro 50mm p/aspirador SILFAB,29100.00,97,media
28915,item_presupuesto,pack de baterias 6v 4a,bateria_pila,ME-041,BATERÍA GEL 6V 4AH,43650.00,90,media
28915,item_presupuesto,pack de baterias 6v 4a,bateria_pila,PK001,Pack baterías NI-CD 6X1800 mA,0.00,86,baja
28915,item_presupuesto,pack de baterias 6v 4a,bateria_pila,ME-081,"BATERIA 6V 2,9 A/H",46560.00,85,baja
28918,item_presupuesto,CAble,cable,ME-043,CABLE DOBLE8,2910.00,118,media
28918,item_presupuesto,CAble,cable,SC-111,CABLEADO MOTOR,0.00,107,media
28918,item_presupuesto,CAble,cable,SC-110,CABLEADO BATERIAS,0.00,100,media
28918,item_presupuesto,Canula,canula,R25266,Pasacánulas angular PC-307,14550.00,97,media
28918,item_presupuesto,Canula,canula,DIR-17,Pasacánulas cristal x 2 PC-305,21825.00,93,media
28921,item_presupuesto,Vacuómetro,vacuometro,PS-034,"CONECTOR  BCE. VACUOMETRO 3/8"" NF",0.00,105,media
28921,item_presupuesto,Vacuómetro,vacuometro,IN-001,Vacuómetro diámetro 52MM Fij. Frontal,39285.00,103,media
28921,item_presupuesto,Vacuómetro,vacuometro,IN002,Vacuómetro diametro 50mm p/aspirador SILFAB,29100.00,97,media
28922,item_presupuesto,CANISTER CEOLITA JAY 5 (EL PAR),zeolita_tamiz,1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,111,media
28922,item_presupuesto,CANISTER CEOLITA JAY 5 (EL PAR),zeolita_tamiz,1504006,CANISTER CEOLITA LONGFIAN JAY-10,240075.00,93,media
28922,item_presupuesto,CANISTER CEOLITA JAY 5 (EL PAR),zeolita_tamiz,1504005,Canister zeolita LONGFIAN JAY-5AW,0.00,90,media
28922,item_presupuesto,Cooler 220V,cooler,1505003,COOLER  KONSUNG,0.00,76,baja
28922,item_presupuesto,Cooler 220V,cooler,1505004,COOLER LONGFIAN JAY,0.00,66,baja
28927,texto_trabajos,KW:manguera,manguera,1516016,MANGUERA DE O2 MAGNAMED,0.00,58,baja
28927,texto_trabajos,KW:manguera,manguera,1223015,Manguera prolongador PNI c/acople rápido UMEC12,0.00,52,baja
