os,fecha_ingreso,fecha_entrega,cliente,tipo_equipo,marca,modelo,items_repuesto_presupuesto,keywords_texto,propuesta_top_3,tipo_match,descripcion_problema,trabajos_realizados
28896,2025-12-18 00:00:00,2026-01-20 07:13:00,PANAS,ASPIRADOR A BATERÍAS,Movi-vac,A-550,Vacuómetro || Baterías,bateria_pila | motor | vacuometro | valvula_pillow,"SC-110 - CABLEADO BATERIAS (score:119) || PS-034 - CONECTOR  BCE. VACUOMETRO 3/8"" NF (score:105)",directo_item,,"CAMBIO DE VACUOMETRO, CAMBIO DE 2 BATERIAS DE 6V 4 AMP LOTE 9970 LIMPIEZA Y LUBRICACION DE MOTOR, COLOCACION DE SUPLEMENTE SOPORTE DE VALVULA AGUJA"
28897,2025-12-18 00:00:00,2026-01-20 07:11:00,PANAS,ASPIRADOR A BATERÍAS,Movi-vac,A-550,,bateria_pila | fusible | motor,1204001 - Jarra para aspirador a batería BEMIS 800 c.c. (score:57) || 1204002 - Tapa de jarra p/aspirador a batería BEMIS 800 c.c. (score:56) || LA-003 - LABIO DE BOMBA DE VACIO MOTORCOM (score:55),inferido_texto,NO FUNCIONA A BATERIAS BAJO NIVEL DE ASPIRACION,"CAMBIO DE MINIFUSE 3 AMP, DESARME LIMPIEZA Y LUBRICACION MOTOR."
28898,2025-12-18 00:00:00,2026-01-19 07:15:00,OXIDOM,ASPIRADOR A BATERÍAS,Movi-vac,A-550,Baterías,bateria_pila | placa,SC-110 - CABLEADO BATERIAS (score:119),directo_item,baterias obsoletas - falla en carga de baterias - falla en carga del equipo por jack de alimentacion en mal estado - limpieza en pines de conexion de placa -  aspiración máxima 5500mmHg,requiere cambio de pack de baterias 6v 4a- jack de alimentacion -
28899,2025-12-22 00:00:00,,JORGE TEMPORETTI,CONCENTRADOR DE OXÍGENO PORTÁTIL,Inogen,ONE,Cambio de ceolitas,bateria_pila | compresor | filtro | zeolita_tamiz,1504008 - RECAMBIO CEOLITA AIRSEP (PAR) (score:91),directo_item,"Lectura de LOGS con software de Inogen DATA LOG:
- Nivel de Oxígeno bajo. Ceolitas agotadas con 0% de vida útil.
- Filtros para recambio
- Batería ok
- Compresor ok","Se cambia canister de ceolitas (HF-COLC-244727324)
Se cambian Filtros
Limpieza general del equipo"
28903,2025-12-05 00:00:00,,PRAXAIR ARG.,oxímetro de pulso,Nellcor,N-560,,bateria_pila,1509002 - Batería de 8 celdas Inogen One G4 BA-408 (score:60) || 1509003 - Batería p/conc. portátil LONGFIAN JAY-10D (score:57),inferido_texto,BATERIA OBSOLETA,CAMBIO DE BATERIA 12V 1.3 A - CONTROL DE FUNCIONAMIENTO OK
28906,2025-12-23 00:00:00,,SIED,CONCENTRADOR DE OXÍGENO,Philips Respironics,EVERFLO,Canister ceolita EVERFLO + Válvula || FILTRO ONCENTRADOR EVERFLOW GENÉRICO,filtro | valvula_pillow | zeolita_tamiz,1504010 - Canister ceolita EVERFLO + Válvula (score:200) || 1208036 - FILTRO CONCENTRADOR EVERFLOW GENÉRICO (score:123),directo_item,,cambio de canister - cambio de válvula pilot - cambio de filtro - control y limpieza del equipo
28907,2025-12-23 00:00:00,2026-01-13 12:00:10,SIED,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5,Ceolitas || Base plastica,compresor | filtro | tecla_boton_llave | zeolita_tamiz,1504008 - RECAMBIO CEOLITA AIRSEP (PAR) (score:70) || PS-006 - PASACABLE PLASTICO (score:70),directo_item,"compresor ruidoso
silenciadores sueltos
base plástica rota
zeolita degradada",cambio de base plástica - cambio de labios - cambio de flapers - ajuste de silenciadores - cambio de filtros - cambio de zeolita - cambio de tapa superior -  ajuste de tecla ON/OFF
28908,2025-12-23 00:00:00,2026-01-14 07:17:00,SIED,CONCENTRADOR DE OXÍGENO,AirSep,NewLife Elite,Ceolitas,filtro | zeolita_tamiz,1504008 - RECAMBIO CEOLITA AIRSEP (PAR) (score:70),directo_item,zeolita degradada,cambiar zeolita (CAN 0030/31) - cambio de filtros - control y limpieza del equipo
28909,2025-12-23 00:00:00,2026-01-13 12:00:29,SIED,ASPIRADOR A BATERÍAS,Movi-vac,A-550,Baterías || Vacuómetro,bateria_pila | motor | vacuometro | valvula_pillow,"SC-110 - CABLEADO BATERIAS (score:119) || PS-034 - CONECTOR  BCE. VACUOMETRO 3/8"" NF (score:105)",directo_item,VALVULA AGUJA SUELTA,"ADAPTADOR SOPORTE VALVULA AGUJA, 2 DE BATERIAS DE 6V 4 AMP LOT 9970, LUBRICACION MOTOR, CAMBIO DE SOPORTE BATERIA LIMPIEZA INTERIOR, CAMBIO DE VACUOMETRO LOTE 26912"
28910,2025-12-23 00:00:00,2026-01-13 11:59:13,SIED,ASPIRADOR A BATERÍAS,Movi-vac,A-550,Baterías || Vacuómetro,bateria_pila | motor | placa | vacuometro,"SC-110 - CABLEADO BATERIAS (score:119) || PS-034 - CONECTOR  BCE. VACUOMETRO 3/8"" NF (score:105)",directo_item,"BAJA ASPIRACION POR FLAPPER DE MOTOR ROTO, SIN LUBRICANTE Y LABIO TOTALMENTE SUCIO - CARCAZA FRONTAL ROTA - VACUOMETRO DESCALIBRADO - BATERIAS OBSOLETAS - CIRCUITO NEUMATICO CONTAMINADO DE SUCIEDAD - PLACA OK","REQUIERE CAMBIO DE PACK DE BATERIAS 6V 4A - VACUOMETRO - CAMBIO DE CARCAZA FRONTAL - CIRCUITO NEUMATICO - LIMPIEZA Y LUBRICACION DE MOTOR COMPLETO CON GRASA LIQUIDA WURTH, CAMBIO DE FLAPPER(HECHO) -"
28911,2025-12-23 00:00:00,2026-01-13 08:57:00,SIED,ASPIRADOR A BATERÍAS,Movi-vac,A-550,Vacuómetro,bateria_pila | fusible | vacuometro,"PS-034 - CONECTOR  BCE. VACUOMETRO 3/8"" NF (score:105)",directo_item,NO CARGA BATERIAS VACUOMETRO DESFASADO 40 MMHG,"CAMBIO DE FUSE 3 AMP MINIFICHA, CAMBIO VACUOMETRO (LOTE 26912)"
28912,2025-12-22 00:00:00,2026-01-07 06:54:00,NOVAMED S.A.,ASPIRADOR,Silfab,N-33A,,,,sin_indicios,,LIMPIEZA Y CONTROL DE FUNCIONAMIENTO
28915,2025-12-24 00:00:00,2026-01-07 06:48:00,NOVAMED S.A.,ASPIRADOR A BATERÍAS,Movi-vac,A-550,pack de baterias 6v 4a || vacuometro || diagnostico prioritario,bateria_pila | placa | vacuometro,"PS-034 - CONECTOR  BCE. VACUOMETRO 3/8"" NF (score:105) || ME-041 - BATERÍA GEL 6V 4AH (score:90)",directo_item,vacuómetro descalibrado - baterías obsoletas - equipo no cargaba por componente faltante en placa,"se cambió pack de baterías 6v 4a  lote  9970- cambio de vacuómetro   lote 26912 más conector plástico - reparación de placa 
aspiración máxima 540mmHg"
28918,2025-12-29 00:00:00,2025-12-31 11:38:00,RUSSO PABLO MATIAS,POLÍGRAFO,BMC,PolyWatch YH-600B,CAble || Canula,bateria_pila | cable | canula,ME-043 - CABLE DOBLE8 (score:118) || R25266 - Pasacánulas angular PC-307 (score:97),directo_item,no sensa flujo y Respiración toracoabdominal por cable de kit de respiración degradado - se reinicia la fecha y hora por pila interna de 3v obsoleta - tiene artificio en las señales a la hora de leer los datos de terapia en el software - el año máximo al que llega el equipo es 2023 - equipo sin conector plástico de cánula nasal del kit de respiración - carcaza rota donde va la varilla de soporte de la tapa de pila y micro sd,cambio de cable de kit de respiración - cambio de pila interna de 3v - actualización de software para corrección de año y artificio - colocación de conector plástico de cánula nasal del kit de respiración - control de funcionamiento ok - reparación de carcaza - incorporación de varilla de tapa de pila y micro sd
28921,2025-12-30 00:00:00,2026-01-19 07:14:00,OXIDOM,ASPIRADOR A BATERÍAS,Movi-vac,A-550,Vacuómetro,bateria_pila | fusible | motor | vacuometro,"PS-034 - CONECTOR  BCE. VACUOMETRO 3/8"" NF (score:105)",directo_item,NO ENCIENDE NI CARGA POR FUSIBLE DE BATERIA ABIERTO - RUIDO POR MOTOR DESMOTADO DE SU BASE - VACUOMETRO DESCALIBRADO,"CAMBIO DE FUSIBLE MINIFICHA 3A - ARMADO DE MOTOR - LIMPIEZA Y LUBRICACION DE MOTOR(con grasa liquida) - REQUIERE CAMBIO DE VACUOMETRO 
ASPIRACION MAXIMA 550mmHg"
28922,2025-12-30 00:00:00,2026-02-09 11:32:00,OXIGENOTERAPIA LOMAS S.A,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5,Cooler 220V || CANISTER CEOLITA JAY 5 (EL PAR),cooler | zeolita_tamiz,1504004 - CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR) (score:111) || 1505003 - COOLER  KONSUNG (score:76),directo_item,"cooler quemado
Baja concentración",cambio de cooler - cambio de zeolita - control y limpieza del equipo
28927,2025-12-16 00:00:00,,ALEXANDER FLEMING S A,BOMBA DE ASPIRACION DE DRENAJE,EI,K-135,,manguera,1516016 - MANGUERA DE O2 MAGNAMED (score:58) || 1223015 - Manguera prolongador PNI c/acople rápido UMEC12 (score:52),inferido_texto,mangueras interna y externas gastadas,cambio de mangueras - control y limpieza del equipo
28931,2025-12-31 00:00:00,,RESPIFLOW,ASPIRADOR,Silfab,N-33A,,,,sin_indicios,devolucion,LIMPIEZA GRAL CONTROL DE FUNCIONAMIENTO
