os,fecha_entrega,fecha_reparado,fecha_liberado,estado_actual,resolucion,presupuesto_estado,presupuesto_fecha_aprobado,cliente,tipo_equipo,marca,modelo,variante,numero_serie,numero_interno,motivo,descripcion_problema,trabajos_realizados,comentarios,quote_id,presupuesto_items_cant,presupuesto_items_detalle
28670,2025-12-09 06:15:00,,2025-12-05 16:33:19,entregado,reparado,aprobado,2025-12-05 16:33:18,TMD,CONCENTRADOR DE OXÍGENO,Konsung,KSOC-5,"",MA23031000042,"",reparación,ingreso con un supuesto ruido en el motor el cual no esta presentando y por baja concentración,cambio zeolita - cambio de filtros - control de funcionamiento,"",8353,1,1.00 x Ceolitas
28672,2025-12-09 06:16:00,,2025-12-05 16:33:22,entregado,reparado,aprobado,2025-12-05 16:33:22,TMD,CONCENTRADOR DE OXÍGENO,Konsung,KSOC-5,"",MA23031000112,"",reparación,"vino con el error E31 el cual es una falla en la conexión con el sensor de oxigeno, además no trabaja satisfactoriamente en 5L pero si lo hace en 4.5L","cambio de zeolita - cambio de pila i3,6V - cambio de filtro - control de funcionamiento 5L 87-88%, 4.5L 91-2%","",8384,1,1.00 x Cambio de ceolitas
28667,2025-12-09 09:11:00,,2025-12-05 16:33:11,entregado,reparado,aprobado,2025-12-05 16:33:10,TMD,CONCENTRADOR DE OXÍGENO,Konsung,KSOC-5,"",MA23031000019,"",reparación,los tamices que tiene ya están degradados provocando la baja concentración,cambio de zeolita - cambio de filtros - control de funcionamiento ,"",8355,1,1.00 x Ceolitas
28638,2025-12-09 12:30:00,,2025-11-14 09:23:24,entregado,reparado,aprobado,2025-11-11 13:13:22,TMD,ASPIRADOR A BATERÍAS,Movi-vac,A-550,"",B9-0973,"",reparación,"CAMBIO DE BATERIAS , CAMBIO DE VACUOMETRO DESARME LIMPIEZA Y LUBRICACION DE BOMBA (YA REALIZADO)","CAMBIO DE 2 BATERIAS DE 6V 4 AMP., LOTE 9868 CAMBIO DE VACUOMETRO LOTE 26912 DESARME LIMPIEZA Y LUBRICACION DE MOTOR .","",8376,2,1.00 x Baterías || 1.00 x Vacuómetro
28676,2025-12-09 15:29:00,,2025-12-05 16:33:04,entregado,reparado,aprobado,2025-12-05 16:33:02,TMD,CONCENTRADOR DE OXÍGENO,Konsung,KSOC-5,"",MC22040040016,"",reparación,"- zeolitas tapadas impidiendo el correcto funcionamiento
- compresor esta fallando 
- rueda trasera faltante",cambio de zeolita  - cambio de compresor - cambio de filtros - colocación de rueda trasera - cambio de electroválvula - control de funcionamiento ,"",8419,2,1.00 x Compresor || 1.00 x Canister
28790,2025-12-09 16:34:11,,2025-12-05 12:16:26,entregado,reparado,aprobado,2025-12-05 12:15:56,DIAGNOSTIC MEDIC,POLÍGRAFO,BMC,PolyWatch YH-600B,PRO,S2224D611008,"",reparación,"equipo no sensa bien el flujo de aire y la respiración toracoabdominal por cable de kit de respiracion desgastado, esto es por mal cuidado del equipo.","cambio de cable del kit de respiracion - control de funcionamiento ok

Accesorios: bolso + kit respiratorio + Sensor SpO2 + latiguillos","",8451,1,1.00 x Cable kit
28710,2025-12-09 16:35:42,,2025-12-02 11:19:57,entregado,reparado,aprobado,2025-12-02 11:19:56,DIAGNOSTIC MEDIC,CPAP,BMC,CPAP G2,E-20C-H-O,E2123205040,"",reparación,equipo descalibrado entrega presiones erróneas - equipo funciona incorrectamente con el reslex activado,calibración de presión - actualización de software para corrección de reslex - control de funcionamiento ok - limpieza interior y exterior,"",8408,1,1.00 x Mano de obra
28711,2025-12-09 16:36:20,,2025-12-02 11:19:55,entregado,reparado,aprobado,2025-12-02 11:19:53,DIAGNOSTIC MEDIC,AUTO CPAP,BMC,AUTO CPAP G2S,G2S,ES422A62036,"",reparación,equipo sin boton plastico de alarma en carcaza,control de funcionamiento ok - colocacion de boton plastico de alarma en carcaza,"",8406,1,1.00 x Botón plástico
28753,2025-12-09 16:37:08,,2025-12-02 11:08:24,entregado,reparado,aprobado,2025-12-02 11:08:23,DIAGNOSTIC MEDIC,CPAP,Yamind,DM26,20C,Y662124170014,"",reparación,se cae la presion en medio de la terapia,"ERROR CAUSADO POR ARCHIVOS CORRUPTOS DE LA TARJETA MICRO SD, NO PERMITE EL CORRECTO FUNCIONAMIENTO DEL EQUIPO - SE PROBO EL EQUIPO CON SD NUEVA DURANTE 8 HORAS Y FUNCIONO CORRECTAMENTE - EL CLIENTE DEBE UTILIZAR UNA MICRO SD NUEVA - LIMPIEZA INTERIOR Y EXTERIOR DEL EQUIPO- CAMBIO DE FILTRO","",8432,0,""
28707,2025-12-09 16:37:27,,2025-12-02 11:08:32,entregado,reparado,aprobado,2025-12-02 11:08:31,DIAGNOSTIC MEDIC,CPAP,BMC,CPAP G2,E-20C-H-O,E2321302204,"",reparación,equipo entrega presiones erróneas - mal funcionamiento de reslex(fluctúa mucho),calibración del equipo - actualización de software del equipo para la corrección del reslex - control de funcionamiento ok - limpieza interior y exterior,"",8389,0,""
28716,2025-12-10 08:00:00,,2025-12-09 16:00:52,entregado,reparado,aprobado,2025-12-09 16:00:51,NOVAMED S.A.,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5,"",MZJ5S121652,"",reparación,el equipo entro porque se soltaba el silenciador y golpeaba la parte superior de concentrador,corrección de falla en silenciador - cambio de filtros - control de funcionamiento ok,"",8463,1,1.00 x Mano de obra
28766,2025-12-10 08:01:00,,2025-12-09 12:14:08,entregado,reparado,aprobado,2025-12-09 12:14:07,NOVAMED S.A.,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5,"",MZJ5S121969,"",reparación,"fuga en Flow meter
zeolita desgastada",cambio de Flow meter - cambio de zeolita - cambio de filtros - control y limpieza del equipo,"",8460,1,1.00 x Ceolitas
28709,2025-12-10 12:36:00,,2025-12-09 11:04:30,entregado,reparado,aprobado,2025-12-02 11:08:38,DIAGNOSTIC MEDIC,CPAP,BMC,CPAP G2,E-20C-H-O,E2321302273,"",reparación,"Equipo tiene un error de medicion bastante grande, llega a superar un error de  ±1 cmh20, esto es por equipo descalibrado","se realizo la correcta calibración del equipo y con eso se corrigió el error de medición de presión - control de funcionamiento ok 

Entra en garantía","",8409,0,""
28757,2025-12-11 12:30:00,,2025-12-05 16:23:38,entregado,reparado,aprobado,2025-12-05 16:23:37,SOENSA,AUTO CPAP,BMC,MINI M1,"",M1A22705050,"",reparación,no funciona bluetooth y se queda el led de iniciar parpadeando,falla causada por pila interna de 3v obsoleta - se realizo el cambio de la misma pila y se soluciono el error - control de funcionamiento ok - cambio de filtro,"",8440,2,1.00 x Mano de obra || 1.00 x pila
28603,2025-12-12 12:28:00,,2025-12-09 11:04:23,entregado,reparado,aprobado,2025-11-12 14:00:01,ARGENTINA DE GASES S.A.,ASPIRADOR A BATERÍAS,Konsung,9E,"",24040060084,"",reparación,NO FUNCIONA A BATERIAS,"MODIFICACION PLACA ELECTRONICA, CAMBIO DE BATERIAS 12V 2,6 AMP LOTE 9868




 
","",8306,1,0.00 x BAterías
28781,2025-12-15 10:40:00,,2025-12-12 16:22:01,entregado,reparado,aprobado,2025-12-12 16:21:59,ACUDIR,ASPIRADOR A BATERÍAS,Fiorino,7E-D,"",00058,"",reparación,NO FUNCIONA A BATERIA,"CAMBIO DE BATERIA 12 V 2,9 AMP LOTE 9868","",8447,1,1.00 x Bate´rias
