os,fecha_ingreso,fecha_entrega,cliente,marca,modelo,tipo_equipo,quote_item_id,tipo_item,item_descripcion,qty,precio_u,costo_u_neto,repuesto_codigo,descripcion_problema,trabajos_realizados
28875,2025-12-15 00:00:00,2026-01-14 07:19:00,SIED,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,3653,repuesto,Placa pirncipal,1.00,67000.00,"","","placa principal con componentes quemados 
electroválvula defectuosa 
zeolita degradada",cambio de placa principal - cambio de electroválvula - cambio de filtros - cambio zeolita (CAN 0026/27) - control y limpieza del equipo
28876,2025-12-15 00:00:00,2026-01-13 11:59:48,SIED,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,3644,repuesto,Ceolita,1.00,176175.00,"","","Cooler quemado
zeolita degradada",cambio de cooler - cambio zeolita - cambio de filtros - control y limpieza del equipo
28876,2025-12-15 00:00:00,2026-01-13 11:59:48,SIED,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,3645,repuesto,Cooler,1.00,50000.00,"","","Cooler quemado
zeolita degradada",cambio de cooler - cambio zeolita - cambio de filtros - control y limpieza del equipo
28877,2025-12-15 00:00:00,2026-01-13 11:58:26,SIED,Longfian,JAY-5Q,CONCENTRADOR DE OXÍGENO,"","","","","","","","pico de salida roto
zeolita degradada/ concentraba 86/89%",cambio de pico de salida O2 - cambio de zeolita - cambio de banda elástica - control y limpieza del equipo
28891,2025-12-15 00:00:00,2026-01-09 11:43:00,BIOMEDICAL CARE SUR S.A.S.,Yamind,DM26,CPAP,"","","","","","","","microsd del equipo pide formatear por error de numero de serie - cuando se intento leer los datos de tarjeta en el software somnus tiro el error  ""La operación aritmética ha provocado un desbordamiento"" - equipo con bastante polvo y tierra en su interior","-El equipo pide formatear la microSD cuando se enciende porque esta línea de equipos solo permite una microSD por equipo, no permite usar la misma para diferentes equipos
-Se identificaron los archivos corruptos de la sd y se intercambiaron por otros que no lo estén, de otro equipo, haciendo esto se logro leer los datos de terapia en el somnus con el inconveniente de que a la hora de leer los datos, el numero de serie que figurara es el del equipo que se usaron los archivos - se enviara una carpeta comprimida con todos los datos óptimos para leerlos - se recomienda formatear la microSD y usarla nuevamente en el equipo que corresponde
-Limpieza interior y exterior de equipo, control de funcionamiento ok"
28892,2025-12-15 00:00:00,2026-01-06 11:39:00,BIOMEDICAL CARE SUR S.A.S.,BMC,CPAP G2S,CPAP,"","","","","","","",equipo entrega presiones erroneas cuando el reslex esta activado,actualizacion de software para correccion de falla en reslex - calibracion del equipo - control de funcionamiento ok - limpieza interior y exterior - cambio de filtro
28888,2025-12-16 00:00:00,,ALEXANDER FLEMING S A,EI,K-135,BOMBA DE ASPIRACION DE DRENAJE,"","","","","","","","leds testigos y porta fusible flojos
conectores llenos de cinta 
mangueras internas vencidas",cambio de mangueras - ajuste de leds testigos y porta fusible - limpieza de cinta en conectores y columna de agua - control y limpieza del equipo
28889,2025-12-16 00:00:00,2026-01-13 11:58:48,SIED,Kangaroo,324,BOMBA DE INFUSIÓN,"","","","","","","",NO DETECTA IMAN DE GOTERO,"AJUSTE DE ALOJAMIENTO IMAN DE GOTERO, CONTROL DE FUNCIONAMIENTO"
28927,2025-12-16 00:00:00,,ALEXANDER FLEMING S A,EI,K-135,BOMBA DE ASPIRACION DE DRENAJE,"","","","","","","",mangueras interna y externas gastadas,cambio de mangueras - control y limpieza del equipo
28893,2025-12-17 00:00:00,2026-01-09 11:34:00,SOENSA,BMC,AUTO CPAP G2S,AUTO CPAP,"","","","","","","","EQUIPO CON SILBIDO EN TURBINA POR RODAMIENTO DESGASTADO - REQUIERE CAMBIO DE TURBINA - PLACA OK 
 EQUIPO EN GARANTIA NO SE ENCONTRARON ANOMALIAS O SIGNOS DE MAL USO DEL EQUIPO E",CONTROL DE FUNCIONAMIENTO DE TODOS LOS PARAMETROS DEL EQUIPO OK - CAMBIO DE TURBINA - CAMBIO DE FILTRO
28894,2025-12-18 00:00:00,2026-01-20 07:11:00,PANAS,Movi-vac,A-550,ASPIRADOR A BATERÍAS,"","","","","","","","NOCARGA BATERIA, SOPORTE MANIJA ROTO","REPARATO GABINETE SOPORTE DE MANIJA, CAMBIO DE FUJSE BATERIA"
