table_name,pk_value,column_name,old_value,new_value,confidence,method,evidence_url,ts,note
devices,15815,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15828,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15846,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15847,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15858,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15878,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15904,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15911,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15912,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15916,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15917,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15925,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15956,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15957,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15959,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15978,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15985,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15986,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15987,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15988,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15992,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16059,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16092,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16123,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16156,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
