brand_norm,cluster_id,canonical_model_norm,members,total
EASY GO,1,VAC,VAC,12
EASY GO,2,PM65HG,PM65HG,10
EASY GO,3,VACUMAX,VACUMAX,5
EASY GO,4,EASYGO VAC,EASYGO VAC,4
EASY GO,5,,,3
EASY GO,6,GO VAC,GO VAC,1
EASY GO,7,VACUOM,VACUOM,1
EASY GO VAC,1,PM65HG,PM65HG,5
EASY GO VAC,2,,,2
EDAM,1,,,1
EDAM,2,SE1,SE1,1
EDAN,1,M3A,M3A,38
EDAN,2,,,22
EDAN,3,M3,M3,7
EDAN,4,SE1,SE1,5
EDAN,5,ADULTO,ADULTO,2
EDAN,6,M8,M8,1
EDAN,7,M300,M300,1
EI,1,K-135,K-135,17
EI,2,K-130,K-130,10
EI,3,K-90,K-90,3
ELECTRO MEDICINA ARGENTINA,1,RESPIRE,RESPIRE,1
ELECTROMEDIC,1,JAZZ,JAZZ,1
ELECTROMEDIK,1,,,1
EM,1,RESPIRE,RESPIRE,1
EMA,1,RESPIRE,RESPIRE,1
EMERSON,1,CA-3000,CA-3000,1
ENERGY POWER,1,BMC,BMC,1
ENERGY SABER,1,,,9
ENERGY SABER,2,P/ASPIRADOR,P/ASPIRADOR,3
ENERGY SABER,3,12 V,12 V,1
ENERGY SABER,4,FSE40H 12,FSE40H 12,1
ENERGY SABER,5,3 3A,3 3A,1
ENERGY SABER,6,12 V 3 3A,12 V 3 3A,1
ENERGY SABER,7,FSE40H,FSE40H,1
ENERGY SAVER,1,3 3A,3 3A,2
ENERGY SAVER,2,MOVIVAC,MOVIVAC,1
ENERGY SAVER,3,,,1
ENMIND,1,EN-V7,EN-V7,1
ESAOTE,1,,,1
EVERFLO,1,,,12
EVERFLO,2,RESPIRONICS,RESPIRONICS,3
EVERFLO,3,5 LTS,5 LTS,1
EVERFLOW,1,,,2
F & P,1,,,1
F&P,1,,,4
FEAS ELECTRONICA,1,3850B BIFASICO,3850B BIFASICO,1
FICHER & PAYKEL,1,,,4
FINGER,1,DS-100,DS-100,1
FIORINO,1,7 ED,7 ED,83
FIORINO,2,,,9
FIORINO,3,CICLADO,CICLADO,3
FIORINO,4,SUCION UNIT,SUCION UNIT,2
FIORINO,5,FIORINO,FIORINO,1
FISHER & PAYKEL,1,HC-150,HC-150,37
FISHER & PAYKEL,2,MR-410,MR-410,20
FISHER & PAYKEL,3,HC-100,HC-100,7
FISHER & PAYKEL,4,150,150,4
FISHER & PAYKEL,5,MR428,MR428,2
FISHER & PAYKEL,6,MR-700,MR-700,2
FISHER & PAYKEL,7,410,410,2
FISHER & PAYKEL,8,,,2
FISHER & PAYKEL,9,HR40,HR40,1
FISHER & PAYKEL,10,420,420,1
FISHER & PAYKEL,11,M150,M150,1
FISHER & PAYKEL,12,428,428,1
FISHER & PAYKEL,13,HC-221,HC-221,1
FISHER Y PAYKEL,1,,,1
FUKUDA,1,CARDIMAX,CARDIMAX,1
FUKUDA,2,,,1
G3G,1,MEDITECH,MEDITECH,1
G3H,1,,,1
GENERAL ELECTRIC,1,ISLEEP,ISLEEP,2
GII,1,Y25T,Y25T,1
GOOD KINGHT,1,420G,420G,1
GOODKNIGHT,1,4206,4206,1
HAND,1,,,1
HARMONY,1,,,3
HARMONY,2,RESPIRONICS,RESPIRONICS,2
HARMONY,3,HARMONY,HARMONY,1
HC-150,1,,,1
HEALTHDYNE,1,QUANTUM,QUANTUM,3
HEWLETT PACKARD,1,CODE MASTER,CODE MASTER,1
HEWLETT PACKARD,2,43100,43100,1
HOFFRCHTER,1,CARAT2,CARAT2,1
HOFFRICHTER,1,CARAT 2,CARAT 2,4
HOFFRICHTER,2,VECTOR 20,VECTOR 20,2
HOFFRICHTER,3,VECTOR,VECTOR,1
HOFFRICHTER,4,POINT,POINT,1
HOFFRICHTER,5,VECTOR ST-20,VECTOR ST-20,1
HOFRICHTER,1,CARAT II,CARAT II,1
HP,1,VIRIDIA,VIRIDIA,5
HP,2,CODE MASTER,CODE MASTER,4
HP,3,,,1
HYPNUS,1,,,4
INNMED,1,IKO 3,IKO 3,1
INNOMED,1,IKO 3,IKO 3,16
INNOMED,2,,,6
INNOMED,3,IKO III,IKO III,1
INNOMED,4,HEART MIRROR 37 IKO,HEART MIRROR 37 IKO,1
INNOMED,5,10 DERIVACIONES,10 DERIVACIONES,1
INOGEN,1,G3,G3,4
INOGEN,2,G4,G4,4
INOGEN,3,AT HOME,AT HOME,3
INOGEN,4,G2,G2,1
INOGEN,5,G5,G5,1
INOGEN AT HOME,1,AT HOME,AT HOME,1
INOGEN G3,1,G3,G3,1
INOGEN ONE,1,G3,G3,94
INOGEN ONE,2,G4,G4,10
INOGEN ONE,3,AT HOME,AT HOME,6
INOGEN ONE,4,6,6,5
INOGEN ONE,5,8 CELDAS,8 CELDAS,1
INOGEN ONE,6,ONE G4,ONE G4,1
INOGEN ONE,7,AT HOME GS-100,AT HOME GS-100,1
INOGEN ONE,8,G5,G5,1
INTERMED,1,S/MODELO,S/MODELO,1
INVACARE,1,INVACARE 5,INVACARE 5,5
INVACARE,2,5,5,4
INVACARE,3,PLATINIUM 5,PLATINIUM 5,2
INVACARE,4,PERFECTO 2,PERFECTO 2,1
INVACARE,5,PLATINIUM 10,PLATINIUM 10,1
INVACARE,6,HOMFICC2,HOMFICC2,1
INVACARE,7,PERFECTO 5,PERFECTO 5,1
INVACARE,8,LT,LT,1
INVACARE,9,S,S,1
ISLEEP,1,10,10,1
JAY,1,5Q,5Q,1
KAIROS,1,MX1,MX1,3
KAIROS,2,,,2
KANGAROO,1,324,324,570
KANGAROO,2,224,224,20
KANGAROO,3,EPUMP,EPUMP,10
KANGAROO,4,924,924,9
KANGAROO,5,S24,S24,1
KANGAROO,6,,,1
KENDALL,1,RESPONSE,RESPONSE,1
KENDALL,2,RESPONS,RESPONS,1
KINGON,1,P2,P2,1
KONSUNG,1,KSOC-5,KSOC-5,91
KONSUNG,2,9EB,9EB,52
KONSUNG,3,,,14
KONSUNG,4,KSOC,KSOC,6
KONSUNG,5,BROCHE ADULTO,BROCHE ADULTO,4
KONSUNG,6,AURORA 8,AURORA 8,3
KONSUNG,7,9A-26B,9A-26B,2
KONSUNG,8,AURORA12,AURORA12,2
KONSUNG,9,MONITOR,MONITOR,1
LAERDAL,1,NN,NN,1
LED,1,,,1
LEEX,1,1M8,1M8,2
LEISTUNG,1,LUFT 2,LUFT 2,11
LESITUNG,1,,,1
LICFAMA,1,AUTOVAC-1,AUTOVAC-1,1
LIFE CARE,1,PLV-100,PLV-100,26
LIFE PORT,1,PIGGYBACK,PIGGYBACK,1
LIFECARE,1,PLV-100,PLV-100,12
LONG FIAN,1,,,11
LONGFIAN,1,JAY-5,JAY-5,1076
LONGFIAN,2,JAY-5Q,JAY-5Q,421
LONGFIAN,3,JAY-10,JAY-10,98
LONGFIAN,4,JAY-10D,JAY-10D,15
LONGFIAN,5,JAY-120,JAY-120,3
LONGFIAN,6,JSB-1200,JSB-1200,1
LOWENSTEIN,1,PRISMA VENT 40,PRISMA VENT 40,3
LOWENSTEIN,2,,,1
MAGNAMED,1,OXYMAG,OXYMAG,6
MAGNAMED,2,FLEXIMAG MAX-300,FLEXIMAG MAX-300,2
MAGNAMED,3,,,2
MAGNAMED,4,FLEXIMAG MAX,FLEXIMAG MAX,1
MAGNAMED,5,FLEXIMAG,FLEXIMAG,1
MARBEL,1,C-500A,C-500A,253
MARBEL,2,C-500,C-500,41
MARBEL,3,,,33
MARBEL,4,A500,A500,4
MARBEL,5,C550,C550,1
MARQUETTE,1,EAGLE 3000,EAGLE 3000,1
MASIMO,1,RADICAL,RADICAL,33
MASIMO,2,RAD 9,RAD 9,9
MASIMO,3,RAD-87,RAD-87,8
MASIMO,4,,,2
MASIMO,5,Y,Y,1
MASSIMO,1,,,9
MAXIMO,1,RADICAL 7,RADICAL 7,1
MAXTEC,1,MAX-02,MAX-02,1
MEDD,1,OXI-3,OXI-3,1
MEDICAL HEALTHY,1,G3G,G3G,1
MEDICAL HEALTHY,2,OXI-3,OXI-3,1
MEDITECH,1,G3G,G3G,222
MEDITECH,2,G3D,G3D,23
MEDITECH,3,,,14
MEDITECH,4,ADULTO,ADULTO,4
MEDITECH,5,G3C,G3C,3
MEDITECH,6,DB9,DB9,2
MEDITECH,7,G3H,G3H,2
MEDITECH,8,GRD,GRD,2
MEDITECH,9,3G3,3G3,1
MEDITECH,10,G36,G36,1
MEDITECH,11,G3L,G3L,1
MEDIX,1,OXI-3,OXI-3,64
MEDIX,2,PC-305,PC-305,35
MEDIX,3,PC-307,PC-307,27
