brand_norm,model_norm,cluster_id,canonical_model_norm
LIFE PORT,PIGGYBACK,1,PIGGYBACK
LIFECARE,PLV-100,1,PLV-100
LONG FIAN,,1,
LONGFIAN,JAY-5,1,JAY-5
LONGFIAN,JAY-5Q,2,JAY-5Q
LONGFIAN,JAY-10,3,JAY-10
LONGFIAN,JAY-10D,4,JAY-10D
LONGFIAN,JAY-120,5,JAY-120
LONGFIAN,JSB-1200,6,JSB-1200
LOWENSTEIN,PRISMA VENT 40,1,PRISMA VENT 40
LOWENSTEIN,,2,
MAGNAMED,OXYMAG,1,OXYMAG
MAGNAMED,FLEXIMAG MAX-300,2,FLEXIMAG MAX-300
MAGNAMED,,3,
MAGNAMED,FLEXIMAG MAX,4,FLEXIMAG MAX
MAGNAMED,FLEXIMAG,5,FLEXIMAG
MARBEL,C-500A,1,C-500A
MARBEL,C-500,2,C-500
MARBEL,,3,
MARBEL,A500,4,A500
MARBEL,C550,5,C550
MARQUETTE,EAGLE 3000,1,EAGLE 3000
MASIMO,RADICAL,1,RADICAL
MASIMO,RAD 9,2,RAD 9
MASIMO,RAD-87,3,RAD-87
MASIMO,,4,
MASIMO,Y,5,Y
MASSIMO,,1,
MAXIMO,RADICAL 7,1,RADICAL 7
MAXTEC,MAX-02,1,MAX-02
MEDD,OXI-3,1,OXI-3
MEDICAL HEALTHY,G3G,1,G3G
MEDICAL HEALTHY,OXI-3,2,OXI-3
MEDITECH,G3G,1,G3G
MEDITECH,G3D,2,G3D
MEDITECH,,3,
MEDITECH,ADULTO,4,ADULTO
MEDITECH,G3C,5,G3C
MEDITECH,DB9,6,DB9
MEDITECH,G3H,7,G3H
MEDITECH,GRD,8,GRD
MEDITECH,3G3,9,3G3
MEDITECH,G36,10,G36
MEDITECH,G3L,11,G3L
MEDIX,OXI-3,1,OXI-3
MEDIX,PC-305,2,PC-305
MEDIX,PC-307,3,PC-307
MEDIX,MEDILED,4,MEDILED
MEDIX,AITECS SP-12S,5,AITECS SP-12S
MEDIX,RAZEL,6,RAZEL
MEDIX,LED,7,LED
MEDIX,,8,
MEDIX,AITEC,9,AITEC
MEDIX,TUBOS,10,TUBOS
MEDIX,AITECS,11,AITECS
MEDIX,OXI-3 PLUS,12,OXI-3 PLUS
MEDIX,AITEK,13,AITEK
MEDIX,TUBO,14,TUBO
MEDIX,401,15,401
MEDIX,LA-101,16,LA-101
MEDIX,307,17,307
MEDIX,NATALCARE LX,18,NATALCARE LX
MEDIX,NATAL CARE,19,NATAL CARE
MEDIX AITECS,PRO125,1,PRO125
MEK,MP110,1,MP110
MERCURY,,1,
MERCURY,5L,2,5L
MG 2751,RESPIRONICS,1,RESPIRONICS
MILLENIUM,,1,
MINDRAY,US-800,1,US-800
MINDRAY,C1A,2,C1A
MONITOR,ADULTO,1,ADULTO
MOVI-VAC,A-550,1,A-550
MOVI-VAC,A-600,2,A-600
MOVI-VAC,A-220,3,A-220
MOVI-VAC,550,4,550
MOVI-VAC,,5,
MOVI-VAC,TRONIC,6,TRONIC
MOVI-VAC,A-500,7,A-500
MOVI-VAC,A-220V,8,A-220V
MOVI-VAC,C-500A,9,C-500A
MOVI-VAC,MOVI-VAC,10,MOVI-VAC
MOVI-VAC,C-550,11,C-550
MOVI-VAC,6000,12,6000
MOVI-VAC,B4-0705,13,B4-0705
MOVI-VAC,A1-0122,14,A1-0122
MOVI-VAC,A-360,15,A-360
MRL,PIC,1,PIC
MVP-10,,1,
NATAL CARE,PC-307,1,PC-307
NATALCARE,ST-LX PC-307,1,ST-LX PC-307
NELLCOR,N-560,1,N-560
NELLCOR,N-595,2,N-595
NELLCOR,N-395,3,N-395
NELLCOR,N-600,4,N-600
NELLCOR,BEDSIDE,5,BEDSIDE
NELLCOR,Y,6,Y
NELLCOR,560,7,560
NELLCOR,N-600X,8,N-600X
NELLCOR,N-550,9,N-550
NELLCOR,,10,
NELLCOR,595,11,595
NELLCOR,NPB-290,12,NPB-290
NELLCOR,395,13,395
