brand_norm,model_norm,cluster_id,canonical_model_norm
SAMTRONIC,ST-1000 V4 0,8,ST-1000 V4 0
SAMTRONIC,ST-1000 4 0,8,ST-1000 V4 0
SAMTRONIC,ICATU,9,ICATU
SAMTRONIC,ST-550,10,ST-550
SAMTRONIC,MGBIO,11,MGBIO
SAMTRONIC,ST-1000 E,12,ST-1000 E
SAMTRONIC,N-560,13,N-560
SAMTRONIC,0,14,0
SATLITE,TRANS,1,TRANS
SCHILLER,AT-1,1,AT-1
SCHILLER,,2,
SECHRIST,IV-100,1,IV-100
SECHRIST,,2,
SEGALINI,5 PATAS,1,5 PATAS
SERIE M,,1,
SERIE M,PLUS,2,PLUS
SILFAB,N-33A,1,N-33A
SILFAB,N33,2,N33
SILFAB,,3,
SILFAB,ELECTRICO,4,ELECTRICO
SILFAB,PICCOLO,5,PICCOLO
SILFAB,N26A,6,N26A
SILFAB,N8VP,7,N8VP
SILFAB,N-35A,8,N-35A
SILFAB,07-0195-11A,9,07-0195-11A
SILFAB,N-33V,10,N-33V
SIN MARCA,SIN MODELO,1,SIN MODELO
SLEEP,,1,
SULLIVAN,V PAP2ST,1,V PAP2ST
SULLIVAN,RESMED,2,RESMED
SUNRISE,,1,
SUNRISE,DEVILBIS,2,DEVILBIS
SYSTEL VITA,RESMART,1,RESMART
TAEMA,,1,
TANGO,,1,
TRANQUILITY,HEATDYNE,1,HEATDYNE
TRANSCEND,,1,
TRONIC,12 V 3A,1,12 V 3A
TRONIC,SW-1250,2,SW-1250
TRONIK,,1,
TRONIK,A-550,2,A-550
TRONIK,1230W,3,1230W
TRONIK,MOVIVAC A-550,4,MOVIVAC A-550
TRONIK,SW-1250,5,SW-1250
TRONIK,SW1230,6,SW1230
TRONIK,MOVIVAV A-550,7,MOVIVAV A-550
VACUM,,1,
VACUMAX,,1,
VACUMAX,EASY GO,2,EASY GO
VACUMAX,605,3,605
VACUMAX,VACUMAX,4,VACUMAX
VACUMAX,VACU-120,5,VACU-120
VACUMAX,A-800,6,A-800
VACUUM,EASYGO VAC,1,EASYGO VAC
VALEYLAB,FORCE 2,1,FORCE 2
VASYS,ORION,1,ORION
VIASYS,ORION,1,ORION
VISION AIRE,5,1,5
VOLUMED,HVP-5005,1,HVP-5005
VYASIS,ORION,1,ORION
VYASSIS,ORION,1,ORION
WECHALLYN,PIC,1,PIC
WEINMANN,,1,
WELCH ALLIN,PIC,1,PIC
WELCH ALLYN,PIC,1,PIC
WELCHALLYN,PIC,1,PIC
WELLCH ALLEN,PIC,1,PIC
WEROS,UROTOM 4004,1,UROTOM 4004
WEROS,4004,2,4004
WEROS,UROTOM-95-1,3,UROTOM-95-1
XXXA,X,1,X
XXXA,,2,
YAMIND,DM26-20C,1,DM26-20C
YAMIND,DM26,2,DM26
YAMIND,DM28,3,DM28
YUWELL,,1,
YUWELL,9F-5,2,9F-5
YUWELL,7F-10,3,7F-10
YUWELL,9F-S,4,9F-S
YUWELL,97-5,5,97-5
YUWELL,7F-5 MINI,6,7F-5 MINI
YUWELL,5L,7,5L
YUWELL,SPIRIT,8,SPIRIT
YUWELL,7A-23B,9,7A-23B
YUWELL,7E-G,10,7E-G
