device_id,alquilado,alquiler_a,n_de_control,numero_serie
27209,True,DIAGNOSTIC MEDIC S.A.,MG 4737,MG 4737
27681,True,MARTIN ARRIOLA,MG 5507,MG 5507
27312,True,ORTOPEDIA INTEGRAR S.R.L.,MG 1733,MG 1733
27968,True,DIAGNOSTIC MEDIC S.A.,MG 1724,MG 1724
26828,True,DIAGNOSTIC MEDIC S.A.,MG 1793,MG 1793
26368,True,SIMPLE SALUD SA,MG 1812,MG 1812
27018,True,DIAGNOSTIC MEDIC S.A.,MG 2160,MG 2160
17491,True,DIAGNOSTIC MEDIC S.A.,MG 2226,MG 2226
15509,True,DRE LUIS EROS,MG 0622,MG 0622
19591,True,DRE LUIS EROS,MG 3807,MG 3807
23055,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 0155,MG 0155
28432,True,TU TIENDA DIGITAL S.A.S.,MG 4914,MG 4914
28418,True,BIOMEDIX SAS,MG 4538,MG 4538
27604,True,ANDREOLI EDUARDO GABRIEL,MG 5115,MG 5115
27622,True,BIOMEDIX SAS,MG 5108,MG 5108
26703,True,GUARDIS RUBEN ALBERTO,MG 5137,MG 5137
27622,True,ANDREOLI EDUARDO GABRIEL,MG 5108,MG 5108
24637,True,ANDREOLI EDUARDO GABRIEL,MG 5127,MG 5127
26703,True,ANDREOLI EDUARDO GABRIEL,MG 5137,MG 5137
27681,True,DIAGNOSTIC MEDIC S.A.,MG 5507,MG 5507
28391,True,ANDREOLI EDUARDO GABRIEL,MG 5052,MG 5052
24623,True,ANDREOLI EDUARDO GABRIEL,MG 3863,MG 3863
28655,True,SC PILAR S.A.,MG 7274,A2-0075
26269,True,MERNO S A,MG 0008,MG 0008
25725,True,ETICA S.A.,MG 1569,MG 1569
25606,True,ETICA S.A.,MG 1591,MG 1591
27044,True,VIDAMED S.R.L.,MG 7080,MG 7080
22046,True,MD FLY S.A.,MG 3305,MG 3305
28464,True,MD FLY S.A.,MG 6338,MG 6338
28169,True,LANCET CORP. ARGENTINA S.R.L.,MG 7306,MG 7306
19481,True,LANCET CORP. ARGENTINA S.R.L.,MG 3880,MG 3880
28168,True,NOVAMED S.A.,MG 1231,MG 1231
27024,True,LANCET CORP. ARGENTINA S.R.L.,MG 3399,MG 3399
28020,True,LANCET CORP. ARGENTINA S.R.L.,MG 6811,MG 6811
28019,True,LANCET CORP. ARGENTINA S.R.L.,MG 7140,MG 7140
28340,True,LANCET CORP. ARGENTINA S.R.L.,MG 4976,MG 4976
24535,True,LANCET CORP. ARGENTINA S.R.L.,MG 7141,CSX1882K137
26116,True,1170 COCUZZA S.R.L.,MG 6661,MG 6661
23103,True,LANCET CORP. ARGENTINA S.R.L.,MG 6643,MG 6643
28423,True,LANCET CORP. ARGENTINA S.R.L.,MG 3836,MG 3836
27291,True,LANCET CORP. ARGENTINA S.R.L.,MG 1956,MG 1956
28424,True,LANCET CORP. ARGENTINA S.R.L.,MG 2383,MG 2383
28426,True,LANCET CORP. ARGENTINA S.R.L.,MG 2650,MG 2650
28335,True,LANCET CORP. ARGENTINA S.R.L.,MG 3824,MG 3824
28336,True,LANCET CORP. ARGENTINA S.R.L.,MG 0445,MG 0445
28337,True,LANCET CORP. ARGENTINA S.R.L.,MG 3811,MG 3811
20706,True,LANCET CORP. ARGENTINA S.R.L.,MG 0832,MG 0832
16311,True,LANCET CORP. ARGENTINA S.R.L.,MG 0400,MG 0400
28342,True,LANCET CORP. ARGENTINA S.R.L.,MG 1050,MG 1050
22426,True,LANCET CORP. ARGENTINA S.R.L.,MG 4896,MG 4896
28341,True,LANCET CORP. ARGENTINA S.R.L.,MG 0399,MG 0399
28425,True,LANCET CORP. ARGENTINA S.R.L.,MG 3661,MG 3661
21556,True,LANCET CORP. ARGENTINA S.R.L.,MG 4980,MG 4980
28422,True,LANCET CORP. ARGENTINA S.R.L.,MG 5302,MG 5302
28170,True,LANCET CORP. ARGENTINA S.R.L.,MG 4948,MG 4948
21802,True,LANCET CORP. ARGENTINA S.R.L.,MG 4385,MG 4385
20404,True,LANCET CORP. ARGENTINA S.R.L.,MG 4046,MG 4046
28339,True,LANCET CORP. ARGENTINA S.R.L.,MG 6336,MG 6336
28046,True,LANCET CORP. ARGENTINA S.R.L.,MG 4966,MG 4966
28338,True,LANCET CORP. ARGENTINA S.R.L.,MG 3704,MG 3704
28343,True,LANCET CORP. ARGENTINA S.R.L.,MG 1737,MG 1737
28031,True,LANCET CORP. ARGENTINA S.R.L.,MG 0857,MG 0857
28021,True,LANCET CORP. ARGENTINA S.R.L.,MG 0817,MG 0817
16510,True,LANCET CORP. ARGENTINA S.R.L.,MG 0816,MG 0816
20528,True,LANCET CORP. ARGENTINA S.R.L.,MG 1082,MG 1082
24101,True,LANCET CORP. ARGENTINA S.R.L.,MG 1494,MG 1494
21072,True,LANCET CORP. ARGENTINA S.R.L.,MG 1345,MG 1345
26337,True,LANCET CORP. ARGENTINA S.R.L.,MG 0726,C4258
28022,True,LANCET CORP. ARGENTINA S.R.L.,MG 0906,MG 0906
28023,True,LANCET CORP. ARGENTINA S.R.L.,MG 3119,MG 3119
27107,True,ARIEL YACOBONE,MG 3131,MG 3131
28421,True,LANCET CORP. ARGENTINA S.R.L.,MG 2887,MG 2887
26747,True,ARIEL YACOBONE,MG 6567,MG 6567
28128,True,RESPIFLOW S.A.,MG 7157,MG 7157
21976,True,LANCET CORP. ARGENTINA S.R.L.,MG 2029,MG 2029
22313,True,LANCET CORP. ARGENTINA S.R.L.,MG 3269,MG 3269
28025,True,XIPAP S.A.,MG 3315,MG 3315
28016,True,LANCET CORP. ARGENTINA S.R.L.,MG 6812,MG 6812
28015,True,LANCET CORP. ARGENTINA S.R.L.,MG 7174,MG 7174
20712,True,LANCET CORP. ARGENTINA S.R.L.,MG 3735,MG 3735
22385,True,LANCET CORP. ARGENTINA S.R.L.,MG 5244,MG 5244
20384,True,LANCET CORP. ARGENTINA S.R.L.,MG 4051,MG 4051
24524,True,LANCET CORP. ARGENTINA S.R.L.,MG 3874,MG 3874
22489,True,LANCET CORP. ARGENTINA S.R.L.,MG 3877,MG 3877
26026,True,LANCET CORP. ARGENTINA S.R.L.,MG 7218,MG 7218
20438,True,LANCET CORP. ARGENTINA S.R.L.,MG 0578,MG 0578
17225,True,LANCET CORP. ARGENTINA S.R.L.,MG 3624,MG 3624
23130,True,LANCET CORP. ARGENTINA S.R.L.,MG 0347,MG 0347
22988,True,LANCET CORP. ARGENTINA S.R.L.,MG 5018,MG 5018
23629,True,LANCET CORP. ARGENTINA S.R.L.,MG 6557,MG 6557
21298,True,LANCET CORP. ARGENTINA S.R.L.,MG 4545,MG 4545
22876,True,LANCET CORP. ARGENTINA S.R.L.,MG 4582,MG 4582
22929,True,LANCET CORP. ARGENTINA S.R.L.,MG 4573,MG 4573
22884,True,LANCET CORP. ARGENTINA S.R.L.,MG 4710,MG 4710
23618,True,LANCET CORP. ARGENTINA S.R.L.,MG 4983,MG 4983
28173,True,LANCET CORP. ARGENTINA S.R.L.,MG 4777,MG 4777
20322,True,LANCET CORP. ARGENTINA S.R.L.,MG 4446,MG 4446
22305,True,LANCET CORP. ARGENTINA S.R.L.,MG 4804,MG 4804
22601,True,LANCET CORP. ARGENTINA S.R.L.,MG 4198,MG 4198
24261,True,LANCET CORP. ARGENTINA S.R.L.,MG 4721,MG 4721
22306,True,LANCET CORP. ARGENTINA S.R.L.,MG 4390,MG 4390
24088,True,LANCET CORP. ARGENTINA S.R.L.,MG 6708,MG 6708
28186,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 6788,MG 6788
28680,True,MARTIN ARRIOLA,MG 7096,MZJ10S572906
27545,True,MARTIN ARRIOLA,MG 7132,MG 7132
22669,True,LANCET CORP. ARGENTINA S.R.L.,MG 5343,MG 5343
21191,True,LANCET CORP. ARGENTINA S.R.L.,MG 1955,MG 1955
20614,True,LANCET CORP. ARGENTINA S.R.L.,MG 2983,MG 2983
27916,True,GRIFFO DAMIAN EZEQUIEL,MG 0033,MG 0033
27627,True,DOMICILIO SALUD SRL,MG 2833,MG 2833
26567,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 2854,MG 2854
27066,True,SLOBINSKY PABLO EMILIO,MG 3496,MG 3496
28467,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 2485,MG 2485
28057,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 2312,MG 2312
27880,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 2504,MG 2504
28154,True,JORGE AGUSTIN,MG 7090,MG 7090
27310,True,ORTOPEDIA INTEGRAR S.R.L.,MG 4754,MG 4754
27455,True,SUCESION DE SLOBINSKY EMILIO ENRIQUE,MG 1917,MZJ5S121917
26533,True,SLOBINSKY PABLO EMILIO,MG 5113,MG 5113
26382,True,SUCESION DE SLOBINSKY EMILIO ENRIQUE,MG 5155,MG 5155
27912,True,SUCESION DE SLOBINSKY EMILIO ENRIQUE,MG 5133,MG 5133
26162,True,SLOBINSKY PABLO EMILIO,MG 5128,MG 5128
26164,True,SLOBINSKY PABLO EMILIO,MG 5508,MG 5508
25936,True,SLOBINSKY PABLO EMILIO,MG 7005,MG 7005
26878,True,ORTOPEDIA INTEGRAR S.R.L.,MG 2005,MG 2005
26733,True,OXIGENOTERAPIA LOMAS S.R.L.,MG 2302,MG 2302
26874,True,1170 COCUZZA S.R.L.,MG 7311,MG 7311
27301,True,ARIEL YACOBONE,MG 7316,MG 7316
26393,True,ARIEL YACOBONE,MG 0096,MA23080040096
26560,True,RESPIFLOW S.A.,MG 0355,MG 0355
26559,True,RESPIFLOW S.A.,MG 2094,MG 2094
28014,True,RESPIFLOW S.A.,MG 0318,MG 0318
26749,True,EXCELENCIA SALUD SRL,MG 1295,MG 1295
27450,True,MEDICUS SA.. DE ASISTENCIA MED. Y CIENT.,MG 7303,MG 7303
26460,True,ARIEL YACOBONE,MG 4869,MG 4869
28014,True,NOVAMED S.A.,MG 0318,MG 0318
28168,True,LANCET CORP. ARGENTINA S.R.L.,MG 1231,MG 1231
27987,True,RSC S.A.,MG 7285,MG 7285
26322,True,ARIEL YACOBONE,MG 7309,MG 7309
27986,True,NOVAMED S.A.,MG 6806,MG 6806
28119,True,ARIEL YACOBONE,MG 3137,MG 3137
27107,True,LANCET CORP. ARGENTINA S.R.L.,MG 3131,MG 3131
27454,True,XIPAP S.A.,MG 2889,MG 2889
26680,True,ARIEL YACOBONE,MG 0031,G70031
26747,True,LANCET CORP. ARGENTINA S.R.L.,MG 6567,MG 6567
27495,True,ARIEL YACOBONE,MG 7162,MG 7162
27085,True,RESPIFLOW S.A.,MG 7163,MG 7163
27070,True,ARIEL YACOBONE,MG 7167,MG 7167
26724,True,ARIEL YACOBONE,MG 7299,MG 7299
28617,True,1170 COCUZZA S.R.L.,MG 6646,21686646
23871,True,ARIEL YACOBONE,MG 4333,MG 4333
27997,True,PERELETEGUI ADRIAN MATIAS,MG 5881,MG 5881
26476,True,ARIEL YACOBONE,MG 1516,MG 1516
27167,True,SC PILAR S.A.,MG 7182,MG 7182
26867,True,MERNO S A,MG 0580,MG 0580
25879,True,NOVAMED S.A.,MG 7241,MG 7241
26254,True,NOVAMED S.A.,MG 0072,MZJP00072
27128,True,1170 COCUZZA S.R.L.,MG 6572,MG 6572
27367,True,NOVAMED S.A.,MG 6561,MG 6561
27353,True,NOVAMED S.A.,MG 6411,MG 6411
27705,True,NOVAMED S.A.,MG 6420,MG 6420
27520,True,OXICASTHOMECARE S.R.L.,MG 5010,MG 5010
27707,True,NOVAMED S.A.,MG 4993,MG 4993
27619,True,TECNO AGRO VIAL S.A.,MG 5011,MG 5011
27701,True,NOVAMED S.A.,MG 4595,MG 4595
27617,True,TECNO AGRO VIAL S.A.,MG 4546,MG 4546
27616,True,BIOMEDIX SAS,MG 4931,MG 4931
27700,True,NOVAMED S.A.,MG 4552,MG 4552
27711,True,NOVAMED S.A.,MG 4929,MG 4929
27321,True,NOVAMED S.A.,MG 4734,MG 4734
27718,True,NOVAMED S.A.,MG 4894,MG 4894
27326,True,NOVAMED S.A.,MG 4801,MG 4801
27712,True,NOVAMED S.A.,MG 6778,MG 6778
28636,True,BRAHIM JUAN MANUEL,MG 7103,MZJ10S72892
28680,True,LANCET CORP. ARGENTINA S.R.L.,MG 7096,MZJ10S572906
23255,True,SANATORIO OTAMENDI Y MIROLI S.A.,MG 1757,MG 1757
22325,True,SANATORIO OTAMENDI Y MIROLI S.A.,MG 3397,MG 3397
17349,True,SANATORIO OTAMENDI Y MIROLI S.A.,MG 1020,MG 1020
25562,True,SANATORIO OTAMENDI Y MIROLI S.A.,MG 3605,MG 3605
26398,True,SANATORIO OTAMENDI Y MIROLI S.A.,MG 3796,MG 3796
25563,True,SANATORIO OTAMENDI Y MIROLI S.A.,MG 5954,MG 5954
21583,True,SANATORIO OTAMENDI Y MIROLI S.A.,MG 3875,MG 3875
25561,True,SANATORIO OTAMENDI Y MIROLI S.A.,MG 2482,MG 2482
25773,True,OXY NET S.A.,MG 7178,MG 7178
28176,True,RESPIRAR S.A.,MG 7362,MG 7362
27301,True,NOVAMED S.A.,MG 7316,MG 7316
25541,True,RESPIRAR S.A.,MG 0423,A7-0423
26189,True,1170 COCUZZA S.R.L.,MG 0268,MG 0268
28439,True,RESPIRAR S.A.,MG 3320,MG 3320
20328,True,RESPIRAR S.A.,MG 2187,MG 2187
26405,True,RESPIRAR S.A.,MG 3810,MG 3810
26295,True,RESPIRAR S.A.,MG 7153,MG 7153
26724,True,NOVAMED S.A.,MG 7299,MG 7299
28635,True,RESPIRAR S.A.,MG 3474,G07838665
26261,True,RESPIRAR S.A.,MG 4963,MG 4963
26736,True,RSC S.A.,MG 7286,MG 7286
27481,True,RSC S.A.,MG 7289,MG 7289
27987,True,NOVAMED S.A.,MG 7285,MG 7285
25718,True,CENTRO MEDICO AMENABAR SRL,MG 6633,MG 6633
27016,True,JORGE AGUSTIN,MG 4463,MG 4463
27152,True,JORGE AGUSTIN,MG 4365,MG 4365
