device_id,alquilado,alquiler_a,n_de_control,numero_serie
27454,True,NOVAMED S.A.,MG 2889,MG 2889
26293,True,XIPAP S.A.,MG 7150,MG 7150
27412,False,,,MG 7156
26304,True,XIPAP S.A.,MG 7166,MG 7166
28049,False,,,MG 6697
28025,True,LANCET CORP. ARGENTINA S.R.L.,MG 3315,MG 3315
26463,True,AVIL SALUD S.R.L,MG 6725,MG 6725
27366,True,AVIL SALUD S.R.L,MG 7242,MG 7242
26074,False,,,MG 6814
26859,False,,,MG 3662
24824,False,,,MG 4916
27815,True,AVIL SALUD S.R.L,MG 6892,MG 6892
25396,True,AVIL SALUD S.R.L,MG 4185,MG 4185
27590,True,AVIL SALUD S.R.L,MG 5901,MG 5901
26860,False,,,MG 7149
25382,True,PERELETEGUI ADRIAN MATIAS,MG 4232,MG 4232
28638,True,1170 COCUZZA S.R.L.,MG 6269,E2120301121
26051,True,PERELETEGUI ADRIAN MATIAS,MG 7201,ES122607201
26066,False,,,MG 6947
26943,True,PERELETEGUI ADRIAN MATIAS,MG 6960,MG 6960
26931,False,,,MG 7283
27802,True,PERELETEGUI ADRIAN MATIAS,MG 4506,MG 4506
27804,True,PERELETEGUI ADRIAN MATIAS,MG 5850,MG 5850
27813,True,PERELETEGUI ADRIAN MATIAS,MG 6074,MG 6074
27807,True,PERELETEGUI ADRIAN MATIAS,MG 5982,MG 5982
28639,False,,MG 6060,E2320101179
28640,False,,MG 5998,E2320101257
25863,True,PERELETEGUI ADRIAN MATIAS,MG 7212,MG 7212
27816,True,PERELETEGUI ADRIAN MATIAS,MG 6976,MG 6976
27819,True,PERELETEGUI ADRIAN MATIAS,MG 6991,MG 6991
27818,True,PERELETEGUI ADRIAN MATIAS,MG 6990,MG 6990
27820,True,PERELETEGUI ADRIAN MATIAS,MG 6993,MG 6993
27843,True,LA VIE INSUMOS Y SERVICIOS S.R.L.,MG 4417,MG 4417
26490,True,PERELETEGUI ADRIAN MATIAS,MG 4610,MG 4610
26493,True,PERELETEGUI ADRIAN MATIAS,MG 4677,MG 4677
27016,True,RSC S.A.,MG 4463,MG 4463
27574,True,PERELETEGUI ADRIAN MATIAS,MG 4353,MG 4353
25172,True,PERELETEGUI ADRIAN MATIAS,MG 5636,MG 5636
27017,False,,,MG 5865
27997,True,NOVAMED S.A.,MG 5881,MG 5881
27849,True,PERELETEGUI ADRIAN MATIAS,MG 5905,MG 5905
27592,True,PERELETEGUI ADRIAN MATIAS,MG 5899,MG 5899
27594,True,PERELETEGUI ADRIAN MATIAS,MG 6830,MG 6830
26512,True,PERELETEGUI ADRIAN MATIAS,MG 6752,MG 6752
28352,True,PERELETEGUI ADRIAN MATIAS,MG 7179,MG 7179
23853,True,GRIFFO DAMIAN EZEQUIEL,MG 1420,MG 1420
24446,False,,,MG 3234
24531,True,GRIFFO DAMIAN EZEQUIEL,MG 7137,CSX1881K184
24533,True,GRIFFO DAMIAN EZEQUIEL,MG 7136,CSX1882K090
25135,False,,,MG 6562
26757,False,,,MG 6863
25489,False,,,MG 3170
26995,True,CENTRO MEDICO AMENABAR SRL,MG 3222,MG 3222
26887,False,,,MG 6704
26029,True,GRIFFO DAMIAN EZEQUIEL,MG 7210,MG 7210
26142,True,GRIFFO DAMIAN EZEQUIEL,MG 1513,MG 1513
27916,True,SUCESION DE SLOBINSKY EMILIO ENRIQUE,MG 0033,MG 0033
25576,True,GRIFFO DAMIAN EZEQUIEL,MG 4777,T0614777
26567,True,SUCESION DE SLOBINSKY EMILIO ENRIQUE,MG 2854,MG 2854
26654,False,,,MG 2780
26201,False,,,MG 2486
26281,True,1170 COCUZZA S.R.L.,MG 4560,MG 4560
26546,False,,,MG 4593
25978,True,EMAR SALUD S.R.L.,MG 4781,MG 4781
26058,False,,,MG 4701
27548,True,1170 COCUZZA S.R.L.,MG 7017,MG 7017
27729,False,,,MG 7097
28432,True,SIM ELECTRO MEDICINA,MG 4914,MG 4914
28214,False,,,MG 4201
20363,True,TU TIENDA DIGITAL S.A.S.,MG 2733,MG 2733
26721,True,JORGE AGUSTIN,MG 7322,MG 7322
28437,True,1170 COCUZZA S.R.L.,MG 7323,MG 7323
26719,False,,,MG 7160
26838,False,,,MG 4685
26722,False,,,MG 6075
27619,True,NOVAMED S.A.,MG 5011,MG 5011
17492,True,KERK PABLO ANDRES,MG 1996,MG 1996
16901,True,KERK PABLO ANDRES,MG 3613,MG 3613
27504,True,MEDICINA CATAN S.A.,MG 2914,MG 2914
25301,False,,,MG 3013
24969,False,,,MG 2852
28563,False,,,MG 2875
27683,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 7369,MG 7369
26671,False,,,MG 2694
26280,False,,,MG 3473
28009,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 7382,MG 7382
26231,False,,,MG 1257
16295,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 1659,MG 1659
28108,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 3696,MG 3696
27694,False,,,MG 3866
26145,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 4040,MG 4040
26143,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 4041,MG 4041
16362,False,,,MG 2493
16506,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 3590,MG 3590
18731,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 1013,MG 1013
24409,False,,,MG 0860
16845,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 3521,MG 3521
19680,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 1508,MG 1508
26244,True,SOENSA S.A.,MG 3526,MG 3526
23784,False,,,MG 1883
19563,False,,,MG 2840
26407,False,,,MG 3465
26567,True,GRIFFO DAMIAN EZEQUIEL,MG 2854,MG 2854
27066,True,SUCESION DE SLOBINSKY EMILIO ENRIQUE,MG 3496,MG 3496
28054,False,,,MG 1464
26913,False,,,MG 3528
26654,True,GRIFFO DAMIAN EZEQUIEL,MG 2780,MG 2780
28467,True,SUCESION DE SLOBINSKY EMILIO ENRIQUE,MG 2485,MG 2485
28057,True,SUCESION DE SLOBINSKY EMILIO ENRIQUE,MG 2312,MG 2312
22020,False,,,MG 0562
27880,True,SUCESION DE SLOBINSKY EMILIO ENRIQUE,MG 2504,MG 2504
24724,False,,,MG 2506
23055,True,DRE LUIS EROS,MG 0155,MG 0155
25871,False,,,MG 3488
28053,False,,,MG 3522
26201,True,GRIFFO DAMIAN EZEQUIEL,MG 2486,MG 2486
15668,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 2452,MG 2452
24582,False,,,MG 2799
25002,False,,,MG 2275
16419,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 1467,MG 1467
27597,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 6400,MG 6400
26524,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 6403,MG 6403
26972,False,,,MG 6413
28109,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 6414,MG 6414
28062,True,SIM ELECTRO MEDICINA,MG 6522,MG 6522
27613,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 6534,MG 6534
24522,False,,,MG 6559
27599,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 6513,MG 6513
28626,False,,MG 6432,MZJ5S121358
26658,True,DIAGNOSTIC MEDIC S.A.,MG 6441,MG 6441
26569,False,,,MG 6500
27333,False,,,MG 6445
26576,True,DIAGNOSTIC MEDIC S.A.,MG 5000,MG 5000
22228,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 4549,MG 4549
27488,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 4908,MG 4908
22098,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 4762,MG 4762
